auid,paper_count
8,1
14720203700,111
36729660500,1
57192376216,1
6507497381,8
57202924002,8
25923304100,93
50662017700,7
7004487886,168
57203385584,1
57190429582,4
26436343700,25
7401969567,1
7403123085,1
24775167600,28
24074703800,23
7004290518,28
56524669400,11
6506927536,56
8532633300,8
6701754794,54
6602082849,130
35364337500,15
6504603029,4
7003640663,23
57203902519,2
6506116014,34
49461493800,17
16064929100,60
7003738743,106
55821824800,1
24778140800,2
57193355220,23
56938866500,1
24829867400,67
36917795200,7
57193796935,5
6603732058,43
57195774295,1
18936731800,143
56201540600,1
58068423900,84
56365395900,42
57205662899,1
14018355900,30
57205729966,3
57192669850,4
8909175900,41
57204782546,1
56217161600,1
56417301800,2
9247226400,42
6701904540,1
56458032200,1
7103172265,1
34570054300,1
7003453226,2
7402743629,3
8270275300,1
6602822936,1
57203068642,1
8363089900,1
56457017600,1
10041065600,1
6604066979,1
57190586359,1
7005086868,3
55532216000,1
57208500704,1
14021892200,3
28168066000,6
6602633352,3
22957487300,15
8265568200,1
57200974084,3
7202211574,1
56328791000,1
48761568000,9
57205214532,1
8557182100,4
7402621506,3
57201138498,3
57201250086,3
7004886581,24
57204180857,2
26434906700,33
6602314116,51
6507444168,40
35798415900,42
57196081323,1
57193159136,2
57193154855,1
57205303829,1
6506270643,1
6602752940,11
57205299977,1
26668053600,6
6602333803,14
57191369450,1
57205303523,1
56893891400,4
57205302777,7
6603092466,260
57203665374,488
57219170016,522
55356010800,2
12779830000,5
57205301914,1
36727006400,4
57201467881,1
55991009100,1
55212257700,10
55983526300,1
23048448200,29
23478543500,1
57205302185,7
57205299106,15
6507859544,15
7404585672,17
26644137200,18
57205305496,1
57205301838,15
57205302413,1
8894620100,3
57205297190,3
57204730256,2
16067906200,22
57195070255,2
6507616304,45
26422620200,8
56682780800,13
6505977186,32
15761759100,26
57193263306,2
6506497707,3
35573525000,3
56701700800,10
36674158700,1
55932412500,1
6505953616,3
15065008800,1
48662557100,3
6507426402,28
57204145808,1
55827550300,4
7004839351,7
47661698100,7
55204784200,6
55897909900,34
23102293600,87
57203329447,2
57203331036,1
57201010642,3
8315119900,4
57207981651,1
6505797100,7
57207990540,1
16239550900,418
35222495600,511
56217303000,518
57195404626,382
55175601800,423
56236454000,518
56681989400,316
56682114600,441
23011684400,502
8436223900,406
56272545200,395
24757923200,349
10044712100,122
8791909900,497
6603210566,258
56966321200,105
7007049415,257
16019870600,518
36945595500,116
57194835548,507
55350328500,351
35227509400,511
57195487015,419
15825660400,510
57195408177,105
57147348800,412
35278858100,257
55325317300,517
16246113200,511
57195405319,444
56604219800,501
11040189400,156
23010348400,511
57159146300,259
6601931097,511
57195406902,502
16244067100,409
6507837565,267
57217539933,334
36051279500,493
57195537084,472
35285982800,439
55881782300,287
55585921500,413
35222418300,398
35228082900,493
35228112900,505
56682042700,254
35226999000,512
56251124200,518
56681988200,500
57194760659,435
56682087500,256
55759748800,262
24832078900,400
29767622300,519
37124559900,412
57186646100,509
56682084400,291
56271457800,409
15069717900,517
23072003200,518
7007131716,486
24759435400,447
56203426200,283
57194836111,453
47961051700,511
57191102318,316
35227095300,531
35227155800,506
56682001900,379
36639182500,416
56682002900,253
7005615760,511
52063289300,508
36237579300,475
56272941000,487
56681916000,243
51663820200,288
55460604900,89
36143231500,292
14827234600,120
57023665100,448
8791944600,433
13908298000,511
57193208271,483
57023845400,117
55869946300,89
54976261100,488
10042327900,511
56272419200,260
56681835200,419
57193211865,415
56401220300,243
57195532967,498
56011334100,82
56808170500,511
6701904022,512
57194775260,445
57202116082,393
6603169788,305
35221072900,515
36170429800,334
55351030400,233
7202705219,518
56397823600,508
55340990800,119
35227130700,473
8222254700,117
6507651237,511
57189268167,510
57189256883,481
8394675100,518
55636320155,510
57191286821,516
35278835700,511
57189264990,302
56241151000,204
35222111700,510
35315034700,266
35222235800,119
57199999252,478
54394424900,333
57294604100,509
57193730204,359
45661125400,442
57276704200,421
8341203100,160
57200798362,317
