grant_name,AGRI,ARTS,BIOC,CENG,CHEM,COMP,DENT,EART,ENER,ENGI,ENVI,IMMU,MATE,MATH,MEDI,MULT,NEUR,NURS,PHAR,PHYS,PSYC,SOCI,VETE,cluster
Ministry of Higher Education,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
National Science and Technology Development Agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1
National Science Foundation,16,1,15,4,10,5,0,5,0,2,6,6,6,10,3,2,4,0,2,23,5,7,0,-1
National Institutes of Health,7,0,62,6,15,3,2,0,0,5,1,44,4,2,140,7,21,0,12,23,3,0,2,18
U.S. Department of Defense,0,0,0,0,0,1,0,0,0,2,0,6,1,1,9,0,2,0,1,0,0,0,0,-1
Office of Naval Research,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
David and Lucile Packard Foundation,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,7
Foundation for the National Institutes of Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Howard Hughes Medical Institute,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Smithsonian Institution,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1
U.S. Department of Energy,0,0,1,2,3,5,0,3,1,0,4,0,2,0,0,0,0,0,0,43,0,0,0,-1
U.S. Department of Health and Human Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
National Hemophilia Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
National Institute of Mental Health,0,0,2,0,0,0,0,0,0,0,0,7,0,0,31,1,7,0,1,0,0,3,1,-1
National Institute on Drug Abuse,0,0,2,0,0,0,0,0,0,0,0,5,0,0,20,0,0,0,1,0,0,0,0,-1
National Institute on Alcohol Abuse and Alcoholism,0,0,2,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,3
U.S. Food and Drug Administration,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3
American Diabetes Association,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
American Association for Cancer Research,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
