"grant_name","AGRI","ARTS","BIOC","CENG","CHEM","COMP","DENT","EART","ENER","ENGI","ENVI","IMMU","MATE","MATH","MEDI","MULT","NEUR","NURS","PHAR","PHYS","PSYC","SOCI","VETE"
"Ministry of Higher Education",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"National Science and Technology Development Agency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
"National Science Foundation",16,1,15,4,10,5,0,5,0,2,6,6,6,10,3,2,4,0,2,23,5,7,0
"National Institutes of Health",7,0,62,6,15,3,2,0,0,5,1,44,4,2,140,7,21,0,12,23,3,0,2
"U.S. Department of Defense",0,0,0,0,0,1,0,0,0,2,0,6,1,1,9,0,2,0,1,0,0,0,0
"Office of Naval Research",0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"David and Lucile Packard Foundation",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
"Foundation for the National Institutes of Health",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Howard Hughes Medical Institute",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smithsonian Institution",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"U.S. Department of Energy",0,0,1,2,3,5,0,3,1,0,4,0,2,0,0,0,0,0,0,43,0,0,0
"U.S. Department of Health and Human Services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"National Hemophilia Foundation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"National Institute of Mental Health",0,0,2,0,0,0,0,0,0,0,0,7,0,0,31,1,7,0,1,0,0,3,1
"National Institute on Drug Abuse",0,0,2,0,0,0,0,0,0,0,0,5,0,0,20,0,0,0,1,0,0,0,0
"National Institute on Alcohol Abuse and Alcoholism",0,0,2,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0
"U.S. Food and Drug Administration",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"American Diabetes Association",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"American Association for Cancer Research",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Abbott Fund",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"American Cancer Society",0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"National Institute on Aging",0,0,8,0,1,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0
"National Heart, Lung, and Blood Institute",0,0,7,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,2,0,0,1,1
"National Human Genome Research Institute",0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0
"NIH Office of the Director",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"National Eye Institute",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0
"National Cancer Institute",0,0,8,1,0,0,0,0,0,2,0,6,1,0,35,0,0,0,1,2,0,0,0
"National Institute of Nursing Research",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
"National Institute of General Medical Sciences",0,0,8,1,4,0,0,0,0,1,0,5,0,0,4,3,1,0,0,1,0,0,1
"National Institute of Allergy and Infectious Diseases",2,0,12,1,4,1,0,0,0,0,0,23,0,0,57,1,0,0,5,0,1,0,0
"Fogarty International Center",0,0,2,0,0,0,0,0,0,0,0,5,0,0,9,0,1,0,0,0,0,0,1
"National Institute of Diabetes and Digestive and Kidney Diseases",0,0,4,0,0,0,0,0,0,0,0,4,0,0,20,2,1,0,0,0,0,0,0
"National Institute of Neurological Disorders and Stroke",0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,3,0,1,0,0,0,0
"National Institute of Environmental Health Sciences",1,0,4,0,0,1,0,0,0,1,0,0,0,0,5,3,3,0,0,0,0,0,0
"National Institute of Arthritis and Musculoskeletal and Skin Diseases",1,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
